#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Fusarium graminearum PH-1","Eukaryota;Fungi;Ascomycetes","PH-1; NRRL 31084","SAMN02953593","PRJNA13839","GCA_000240135.3"," Chromosome",36.458,48.3278,"chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1","AACM02",31,13313,"2003-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/135/GCA_000240135.3_ASM24013v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3"
"Leptosphaeria maculans","Eukaryota;Fungi;Ascomycetes","","SAMEA104483101","PRJEB24468","GCA_900538235.1","Scaffold",45.9865,44.6,,"UNSE01",33,0,"2018-09-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/538/235/GCA_900538235.1_JN3_Genome_assembly",
"Rhizoctonia solani AG-1 IB","Eukaryota;Fungi;Basidiomycetes","Rhizoctonia solani AG1-IB 7/3/14","SAMEA2810501","PRJEB7257","GCA_000832345.2","Scaffold",46.9144,48.2,,"CDGK01",5674,12616,"2015-01-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/832/345/GCA_000832345.2_7_3_14",
"Dothistroma septosporum","Eukaryota;Fungi;Ascomycetes","CMW 44656","SAMN06689754","PRJNA381823","GCA_002236685.2","Scaffold",30.1076,52.9,,"NBZR02",76,0,"2017-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/236/685/GCA_002236685.2_RUS1.long",
"Alternaria arborescens","Eukaryota;Fungi;Ascomycetes","RGR 97.0013","SAMN06205218","PRJNA360212","GCA_004155955.1","Scaffold",33.8036,50.9,,"PDWY01",287,12801,"2019-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/155/955/GCA_004155955.1_ASM415595v1",
"Macrophomina phaseolina MS6","Eukaryota;Fungi;Ascomycetes","MS6","SAMN02981393","PRJNA78845","GCA_000302655.1","Contig",48.8828,52.3,,"AHHD01",1506,13806,"2012-10-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/655/GCA_000302655.1_MphMS6_1.0",
"Heterobasidion annosum","Eukaryota;Fungi;Basidiomycetes","","SAMEA3339661","PRJEB8921","GCA_001457895.1","Scaffold",27.6963,52.4,,"CVKU01",14,0,"2015-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/895/GCA_001457895.1_137OC",
"Penicillium digitatum Pd01-ZJU","Eukaryota;Fungi;Ascomycetes","Pd01-ZJU","SAMN02981476","PRJNA178915","GCA_000485865.1","Contig",25.0111,48.9,,"ANGJ01",1816,0,"2013-10-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/485/865/GCA_000485865.1_Pendig1.0",
"Heterobasidion irregulare","Eukaryota;Fungi;Basidiomycetes","","SAMEA3323522","PRJEB8921","GCA_001458015.1","Scaffold",26.8443,52.4,,"CVKX01",14,0,"2015-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/015/GCA_001458015.1_49SA",
"Colletotrichum fioriniae PJ7","Eukaryota;Fungi;Ascomycetes","PJ7","SAMN02580179","PRJNA244481","GCA_000582985.1","Scaffold",49.0028,52.5,,"JARH01",1096,13759,"2014-02-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/582/985/GCA_000582985.1_CFIO01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/582/985/GCF_000582985.1_CFIO01"
"Colletotrichum gloeosporioides","Eukaryota;Fungi;Ascomycetes","Cg01","SAMN09759449","PRJNA484086","GCA_003666125.1","Scaffold",55.7726,52.9,,"QRFY01",265,0,"2018-10-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/666/125/GCA_003666125.1_ASM366612v1",
"Austropuccinia psidii","Eukaryota;Fungi;Basidiomycetes","Aus_3","SAMN04053797","PRJNA295407","GCA_001443065.1","Scaffold",129.776,31.2,,"LKHF01",57309,0,"2015-11-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/065/GCA_001443065.1_ASM144306v1",
"Clarireedia homoeocarpa","Eukaryota;Fungi;Ascomycetes","MB01","SAMN03792992","PRJNA288040","GCA_002242905.1","Scaffold",39.4688,43.3,,"LLKD01",1637,0,"2017-08-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/242/905/GCA_002242905.1_ASM224290v1",
"Clarireedia homoeocarpa","Eukaryota;Fungi;Ascomycetes","LWC10","SAMN03792988","PRJNA288036","GCA_002242965.1","Scaffold",37.2441,45.5,,"LLKH01",3606,0,"2017-08-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/242/965/GCA_002242965.1_ASM224296v1",
"Austropuccinia psidii MF-1","Eukaryota;Fungi;Basidiomycetes","MF-1","SAMN02981557","PRJNA215767","GCA_000469055.1","Contig",0.362051,40.5,,"AVOT01",295,0,"2013-09-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/055/GCA_000469055.1_PpMF-1_1.0_",
"Colletotrichum gloeosporioides","Eukaryota;Fungi;Ascomycetes","030206","SAMN06473425","PRJNA377876","GCA_002189585.1","Scaffold",57.6035,53.2,,"MWUF01",1564,0,"2017-06-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/189/585/GCA_002189585.1_ASM218958v1",
"Heterobasidion irregulare","Eukaryota;Fungi;Basidiomycetes","","SAMEA3323521","PRJEB8921","GCA_001457915.1","Scaffold",26.3743,52.4,,"CVKY01",14,0,"2015-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/915/GCA_001457915.1_48NB",
"Heterobasidion annosum","Eukaryota;Fungi;Basidiomycetes","","SAMEA3323519","PRJEB8921","GCA_001457995.1","Scaffold",27.5303,52.7,,"CVKV01",14,0,"2015-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/995/GCA_001457995.1_109SA",
"Macrophomina phaseolina","Eukaryota;Fungi;Ascomycetes","MP00065","SAMN03956205","PRJNA291859","GCA_001307945.1","Scaffold",46.3458,51.1,,"LHTO01",4510,0,"2015-10-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/945/GCA_001307945.1_ASM130794v1",
"Alternaria arborescens","Eukaryota;Fungi;Ascomycetes","RGR 97.0016","SAMN06205219","PRJNA360212","GCA_004154815.1","Scaffold",33.7742,51.1,,"PEJP01",339,12852,"2019-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/154/815/GCA_004154815.1_ASM415481v1",
"Dothistroma septosporum","Eukaryota;Fungi;Ascomycetes","MU_NZE8","SAMN06689753","PRJNA381823","GCA_002236465.2","Scaffold",30.4591,52.6,,"NBZQ02",209,0,"2017-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/236/465/GCA_002236465.2_NZE8.long",
"Rhizoctonia solani","Eukaryota;Fungi;Basidiomycetes","BBA 69670","SAMEA3490189","PRJEB9381","GCA_001286725.1","Scaffold",56.0285,48.4,,"CYGV01",2065,11897,"2015-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/286/725/GCA_001286725.1_AG22IIIB",
"Penicillium expansum","Eukaryota;Fungi;Ascomycetes","d1","SAMN02928572","PRJNA255745","GCA_000769735.1","Contig",32.065,47.6,,"JQFY01",270,11023,"2014-10-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/735/GCA_000769735.1_ASM76973v1",
"Microbotryum violaceum","Eukaryota;Fungi;Basidiomycetes","1296","SAMEA3706521","PRJEB12080","GCA_900011735.1","Contig",32.7623,56.2,,"FBRM01",157,0,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/011/735/GCA_900011735.1_MvSco-1296-1T-A2-R1",
"Puccinia triticina Race 77","Eukaryota;Fungi;Basidiomycetes","Race 77","SAMN03384289","PRJNA277090","GCA_001706745.1","Contig",95.2202,46.7,,"LACX01",49919,0,"2016-08-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/706/745/GCA_001706745.1_ASM170674v1",
"Blumeria graminis f. sp. tritici 96224","Eukaryota;Fungi;Ascomycetes","96224","SAMN02981491","PRJNA183607","GCA_000418435.1","Scaffold",158.945,46.3,,"ANZE01",1867,6525,"2013-07-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/435/GCA_000418435.1_Bgt_454_newbler_assembly",
"Fusarium oxysporum f. sp. cepae","Eukaryota;Fungi;Ascomycetes","FoC_Fus2","SAMN05529097","PRJNA338256","GCA_003615085.1"," Chromosome",53.4258,47.7193,"chromosome 1:CM010800.1; chromosome 4:CM010801.1; chromosome 5:CM010802.1; chromosome 7:CM010803.1; chromosome 8:CM010804.1; chromosome 9:CM010805.1; chromosome 10:CM010806.1; chromosome 11:CM010807.1","MRCU01",34,19342,"2018-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/615/085/GCA_003615085.1_FoC_Fus2_v1",
"Pyrenophora tritici-repentis","Eukaryota;Fungi;Ascomycetes","86-124","SAMN07420927","PRJNA315205","GCA_003231425.1","Scaffold",34.4397,51.1,,"NRDI01",3223,12525,"2018-06-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/231/425/GCA_003231425.1_Ptr86-124",
"Botrytis cinerea T4","Eukaryota;Fungi;Ascomycetes","T4","","PRJNA64593","GCA_000227075.1","Contig",39.5114,43.5,,,118,16353,"2011-03-11T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/075/GCA_000227075.1_BotFuc_Mar2011",
"Fusarium verticillioides","Eukaryota;Fungi;Ascomycetes","BRIP14953","SAMN08667352","PRJNA437508","GCA_003316975.2"," Chromosome",42.5351,48.1549,"chromosome 1:CM010967.1; chromosome 2:CM010968.1; chromosome 3:CM010969.1; chromosome 4:CM010970.1; chromosome 5:CM010971.1; chromosome 6:CM010972.1; chromosome 7:CM010973.1; chromosome 8:CM010974.1; chromosome 9:CM010975.1; chromosome 10:CM010976.1; chromosome 11:CM010977.1","QFXM01",255,13769,"2018-07-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/975/GCA_003316975.2_ASM331697v2",
"Zymoseptoria tritici ST99CH_1A5","Eukaryota;Fungi;Ascomycetes","","SAMEA4489935","PRJEB15648","GCA_900099495.1"," Chromosome",39.6987,52.2048,"chromosome 1:LT882676.1; chromosome 2:LT882677.1; chromosome 3:LT882678.1; chromosome 4:LT882679.1; chromosome 5:LT882680.1; chromosome 6:LT882681.1; chromosome 7:LT882682.1; chromosome 8:LT882683.1; chromosome 9:LT882684.1; chromosome 10:LT882685.1; chromosome 11:LT882686.1; chromosome 12:LT882687.1; chromosome 13:LT882688.1; chromosome 14:LT882689.1; chromosome 15:LT882690.1; chromosome 16:LT882691.1; chromosome 17:LT882692.1; chromosome 18:LT882693.1; chromosome 19:LT882694.1; chromosome 20:LT882695.1; chromosome 21:LT882696.1",,21,12072,"2017-06-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/099/495/GCA_900099495.1_ZT1A5_complete_assembly",
"Parastagonospora nodorum","Eukaryota;Fungi;Ascomycetes","LDN03-Sn4","SAMN07500861","PRJNA398070","GCA_002267005.1"," Chromosome",37.6951,49.8118,"chromosome 1:CP022800.1; chromosome 2:CP022801.1; chromosome 3:CP022803.1; chromosome 4:CP022802.1; chromosome 5:CP022804.1; chromosome 6:CP022806.1; chromosome 7:CP022807.1; chromosome 8:CP022808.1; chromosome 9:CP022809.1; chromosome 10:CP022805.1; chromosome 11:CP022812.1; chromosome 12:CP022810.1; chromosome 13:CP022811.1; chromosome 14:CP022813.1; chromosome 15:CP022814.1; chromosome 16:CP022816.1; chromosome 17:CP022815.1; chromosome 18:CP022817.1; chromosome 19:CP022818.1; chromosome 20:CP022820.1; chromosome 21:CP022819.1; chromosome 22:CP022821.1; chromosome 23:CP022822.1",,23,0,"2017-08-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/267/005/GCA_002267005.1_ASM226700v1",
"Ustilago maydis","Eukaryota;Fungi;Basidiomycetes","AB33P5deltaR","SAMN05200855","PRJNA324356","GCA_001736185.1","Contig",19.9294,53.9,,"LZQU01",1978,0,"2016-09-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/736/185/GCA_001736185.1_ASM173618v1",
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","","SAMEA4708262","PRJEB27137","GCA_900474375.2","Contig",43.9781,50,,"UELY02",16,0,"2018-06-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/375/GCA_900474375.2_BTMP13_1_contigs",
"Fusarium graminearum","Eukaryota;Fungi;Ascomycetes","MDC_Fg1","SAMEA4778736","PRJEB27611","GCA_900492705.1","Contig",36.8079,48,,"UIHA01",96,0,"2018-09-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/492/705/GCA_900492705.1_MDC_Fg1",
"Fusarium graminearum","Eukaryota;Fungi;Ascomycetes","ITEM 124","SAMN07455307","PRJNA397367","GCA_002352725.1","Scaffold",36.8838,48.2,,"NQOC01",67,11827,"2017-09-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/352/725/GCA_002352725.1_FGRA07",
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","","SAMEA4708258","PRJEB27137","GCA_900474655.2","Contig",46.4159,51.1,,"UEMA02",46,0,"2018-06-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/655/GCA_900474655.2_FR13_contigs",
"Ustilago maydis","Eukaryota;Fungi;Basidiomycetes","ATCC bA22899","SAMN05194381","PRJNA324064","GCA_001662005.1","Contig",20.2089,53.9,,"LYZD01",2938,0,"2016-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/005/GCA_001662005.1_ASM166200v1",
"Zymoseptoria tritici ST99CH_1E4","Eukaryota;Fungi;Ascomycetes","","SAMEA104083538","PRJEB20900","GCA_900184115.1"," Chromosome",38.6284,52.2547,"chromosome ZT1E4_chr_1:LT854253.1; chromosome ZT1E4_chr_10:LT854262.1; chromosome ZT1E4_chr_11:LT854263.1; chromosome ZT1E4_chr_12:LT854264.1; chromosome ZT1E4_chr_13:LT854265.1; chromosome ZT1E4_chr_14:LT854266.1; chromosome ZT1E4_chr_15:LT854267.1; chromosome ZT1E4_chr_16:LT854268.1; chromosome ZT1E4_chr_18:LT854269.1; chromosome ZT1E4_chr_19:LT854270.1; chromosome ZT1E4_chr_2:LT854254.1; chromosome ZT1E4_chr_20:LT854271.1; chromosome ZT1E4_chr_21:LT854272.1; chromosome ZT1E4_chr_3:LT854255.1; chromosome ZT1E4_chr_4:LT854256.1; chromosome ZT1E4_chr_5:LT854257.1; chromosome ZT1E4_chr_6:LT854258.1; chromosome ZT1E4_chr_7:LT854259.1; chromosome ZT1E4_chr_8:LT854260.1; chromosome ZT1E4_chr_9:LT854261.1",,20,12023,"2017-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/184/115/GCA_900184115.1_ST99CH_1E4",
"Parastagonospora nodorum","Eukaryota;Fungi;Ascomycetes","SN15","SAMN02953619","PRJNA505097","GCA_008452785.1"," Chromosome",37.4343,50.134,"chromosome 1:CM017932.1; chromosome 2:CM017933.1; chromosome 3:CM017934.1; chromosome 4:CM017935.1; chromosome 5:CM017936.1; chromosome 6:CM017937.1; chromosome 7:CM017938.1; chromosome 8:CM017939.1; chromosome 9:CM017940.1; chromosome 10:CM017941.1; chromosome 11:CM017942.1; chromosome 12:CM017943.1; chromosome 13:CM017944.1; chromosome 14:CM017945.1; chromosome 15:CM017946.1; chromosome 16:CM017947.1; chromosome 17:CM017948.1; chromosome 18:CM017949.1; chromosome 19:CM017950.1; chromosome 20:CM017951.1; chromosome 21:CM017952.1; chromosome 22:CM017953.1; chromosome 23:CM017954.1; mitochondrion MT:CM017955.1","SSHU01",27,0,"2019-09-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/452/785/GCA_008452785.1_ASM845278v1",
"Pyrenophora tritici-repentis","Eukaryota;Fungi;Ascomycetes","ARCrossB10","SAMN07420928","PRJNA315205","GCA_003171545.1","Scaffold",33.774,50.9,,"NQWZ01",2867,12086,"2018-05-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/171/545/GCA_003171545.1_PtrARCrossB10",
"Fusarium oxysporum f. sp. lycopersici 4287","Eukaryota;Fungi;Ascomycetes","4287","SAMN08942773","PRJNA450629","GCA_003315725.1"," Chromosome",53.919,47.6858,"chromosome 1:CM010335.1; chromosome 2:CM010336.1; chromosome 4:CM010337.1; chromosome 5:CM010338.1; chromosome 7:CM010339.1; chromosome 8:CM010340.1; chromosome 9:CM010341.1; chromosome 10:CM010342.1; chromosome 11:CM010343.1; chromosome 12:CM010344.1; chromosome 13:CM010345.1; mitochondrion MT:CM010346.1","QESU01",499,0,"2018-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/725/GCA_003315725.1_ASM331572v1",
"Blumeria graminis f. sp. hordei K1","Eukaryota;Fungi;Ascomycetes","K1","SAMN02981504","PRJNA186718","GCA_000401615.1","Contig",53.786,43.8,,"AOIY01",20359,0,"2013-05-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/401/615/GCA_000401615.1_K1_trimmed_clc_assembly_flt.fa",
"Puccinia triticina Race 77","Eukaryota;Fungi;Basidiomycetes","Race 77","SAMN03384299","PRJNA277090","GCA_001707415.1","Contig",95.1221,46.7,,"LADH01",49924,0,"2016-08-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/707/415/GCA_001707415.1_ASM170741v1",
"Microbotryum violaceum","Eukaryota;Fungi;Basidiomycetes","1253","SAMEA3706529","PRJEB12080","GCA_900013405.1","Contig",25.6678,56.1,,"FBUH01",37,0,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/013/405/GCA_900013405.1_MvSv-1253-A2-R1",
"Penicillium expansum","Eukaryota;Fungi;Ascomycetes","R21","SAMN05582703","PRJNA339168","GCA_001750045.2","Scaffold",35.0461,48.2,,"MJGF02",257,0,"2016-09-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/045/GCA_001750045.2_ASM175004v2",
"Rhizoctonia solani AG-3","Eukaryota;Fungi;Basidiomycetes","Ben3","SAMEA104106018","PRJEB19450","GCA_900185085.1","Scaffold",51.485,41.4,,"FXZJ01",1390,0,"2017-06-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/185/085/GCA_900185085.1_Ben3",
"Dothistroma septosporum","Eukaryota;Fungi;Ascomycetes","CMW 14823","SAMN06689743","PRJNA381823","GCA_002236775.2","Scaffold",30.6268,52.3,,"NBZJ02",370,0,"2017-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/236/775/GCA_002236775.2_CAN3.long",
"Alternaria arborescens","Eukaryota;Fungi;Ascomycetes","MOD1-FUNGI6","SAMN10078278","PRJNA482816","GCA_004634205.1","Contig",33.8229,51.1,,"SJDP01",664,0,"2019-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/634/205/GCA_004634205.1_ASM463420v1",
"Macrophomina phaseolina","Eukaryota;Fungi;Ascomycetes","MO00014","SAMN03956192","PRJNA291857","GCA_001307885.1","Scaffold",45.5875,51.3,,"LHTN01",3606,0,"2015-10-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/885/GCA_001307885.1_ASM130788v1",
"Colletotrichum gloeosporioides","Eukaryota;Fungi;Ascomycetes","ES026","SAMN09946147","PRJNA488958","GCA_003568745.1","Scaffold",58.5197,51.6,,"QXIZ01",404,0,"2018-09-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/568/745/GCA_003568745.1_ASM356874v1",
"Clarireedia homoeocarpa","Eukaryota;Fungi;Ascomycetes","CPB17","SAMN03792986","PRJNA288032","GCA_002242865.1","Scaffold",36.3963,46.6,,"LLKJ01",3875,0,"2017-08-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/242/865/GCA_002242865.1_ASM224286v1",
"Clarireedia homoeocarpa","Eukaryota;Fungi;Ascomycetes","RB19","SAMN03792989","PRJNA288037","GCA_002242955.1","Scaffold",36.1844,46.1,,"LLKG01",3610,0,"2017-08-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/242/955/GCA_002242955.1_ASM224295v1",
"Colletotrichum gloeosporioides Cg-14","Eukaryota;Fungi;Ascomycetes","Cg-14","SAMN02981466","PRJNA176412","GCA_000446055.1","Contig",53.2099,53.4,,"AMYD01",4537,16538,"2013-08-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/446/055/GCA_000446055.1_Colletotrichum_gloeosporioides1",
"Macrophomina phaseolina","Eukaryota;Fungi;Ascomycetes","MP00327","SAMN03956207","PRJNA291861","GCA_001307955.1","Scaffold",47.008,51.1,,"LHTQ01",4124,0,"2015-10-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/955/GCA_001307955.1_ASM130795v1",
"Dothistroma septosporum","Eukaryota;Fungi;Ascomycetes","CMW 13123","SAMN06689756","PRJNA381823","GCA_002236485.2","Scaffold",30.8503,52.7,,"NBZT02",234,0,"2017-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/236/485/GCA_002236485.2_SLV1.long",
"Rhizoctonia solani AG-8 WAC10335","Eukaryota;Fungi;Basidiomycetes","WAC10335","SAMN02795944","PRJNA187548","GCA_000695385.1","Scaffold",39.8229,48.7,,"AVOZ01",857,13952,"2014-05-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/385/GCA_000695385.1_RSAG8-1.V1",
"Penicillium expansum YT02","Eukaryota;Fungi;Ascomycetes","YT02","SAMN03276233","PRJNA50009","GCA_002072455.1","Scaffold",31.252,49.8,,"JARG01",52,0,"2017-03-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/072/455/GCA_002072455.1_Pexp1.0",
"Microbotryum violaceum","Eukaryota;Fungi;Basidiomycetes","1253","SAMEA3706528","PRJEB12080","GCA_900015505.1","Contig",25.8066,56.1,,"FBUG01",42,0,"2016-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/015/505/GCA_900015505.1_MvSv-1253-A1-R1",
"Puccinia triticina Race 77","Eukaryota;Fungi;Basidiomycetes","Race 77","SAMN03384291","PRJNA277090","GCA_001707345.1","Contig",95.1131,46.7,,"LACZ01",50016,0,"2016-08-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/707/345/GCA_001707345.1_ASM170734v1",
"Blumeria graminis f. sp. hordei A6","Eukaryota;Fungi;Ascomycetes","A6","SAMN01888387","PRJNA186717","GCA_000401675.1","Contig",47.465,43.8,,"AOLT01",21305,0,"2013-05-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/401/675/GCA_000401675.1_A6_trimmed_clc_assembly_flt.fa",
"Fusarium oxysporum f. sp. cubense","Eukaryota;Fungi;Ascomycetes","160527","SAMN11282975","PRJNA529756","GCA_005930515.1","Contig",51.1395,47.5,,"SRMI01",12,16784,"2019-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/930/515/GCA_005930515.1_ASM593051v1",
"Pyrenophora tritici-repentis","Eukaryota;Fungi;Ascomycetes","134","SAMN04550938","PRJNA315205","GCA_003231325.1","Scaffold",34.0465,50.8,,"MVBF01",3579,11072,"2018-06-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/231/325/GCA_003231325.1_Ptr134",
"Zymoseptoria tritici STIR04_A26b","Eukaryota;Fungi;Ascomycetes","Zt10","SAMN02981321","PRJNA414407","GCA_002937415.1"," Chromosome",39.329,51.7356,"chromosome 1:CM009521.1; chromosome 2:CM009522.1; chromosome 3:CM009523.1; chromosome 4:CM009524.1; chromosome 5:CM009525.1; chromosome 6:CM009526.1; chromosome 7:CM009527.1; chromosome 8:CM009528.1; chromosome 9:CM009529.1; chromosome 10:CM009530.1; chromosome 11:CM009531.1; chromosome 12:CM009532.1; chromosome 13:CM009533.1; chromosome 14:CM009534.1; chromosome 15:CM009535.1; chromosome 16:CM009536.1; chromosome 17:CM009537.1; chromosome 19:CM009538.1","PEBO01",22,0,"2018-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/937/415/GCA_002937415.1_ASM293741v1",
"Parastagonospora nodorum","Eukaryota;Fungi;Ascomycetes","SnOre 11-1","SAMN09435533","PRJNA476481","GCA_003497825.1","Contig",37.4118,50,,"QVWQ01",929,0,"2018-09-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/497/825/GCA_003497825.1_ASM349782v1",
"Ustilago maydis","Eukaryota;Fungi;Basidiomycetes","RK818","SAMN05150233","PRJNA322266","GCA_001660065.1","Contig",20.6221,53.8,,"LYOO01",4767,0,"2016-06-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/065/GCA_001660065.1_ASM166006v1",
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","","SAMEA4708260","PRJEB27137","GCA_900474545.2","Contig",41.4713,50.2,,"UEMB02",21,0,"2018-06-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/545/GCA_900474545.2_BR32_contigs",
"Fusarium graminearum","Eukaryota;Fungi;Ascomycetes","FG078","SAMN09387754","PRJNA475366","GCA_006942295.1","Scaffold",36.7757,48.3,,"VIGE01",335,0,"2019-07-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/942/295/GCA_006942295.1_Fgr0078",
"Fusarium graminearum","Eukaryota;Fungi;Ascomycetes","FN009","SAMEA4719586","PRJEB27209","GCA_900476405.1","Scaffold",36.8382,48.3,,"UCPH01",715,0,"2018-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/405/GCA_900476405.1_FN009",
